编号,章节,标题,优先级,状态,关联
REQ-130,C. 横向扩展（Phase A–D）,雷诺曼牌阵补充 + 摆位呈现 v2（复用塔罗 REQ-129 取牌/读牌两段式…,P2,待验收,REQ-024 REQ-129
REQ-131,C. 横向扩展（Phase A–D）,国学摇卦「手动 / 一键自动」两模式（六爻 + 梅花易数,P2,待验收,REQ-022 REQ-069
REQ-137,C. 横向扩展（Phase A–D）,档案选择改下拉式（编号顺延,P2,待验收,REQ-068 REQ-092 REQ-133
REQ-133,C. 横向扩展（Phase A–D）,黄历择日 v2（UI/交互迭代,P2,待验收,REQ-121 REQ-134
REQ-134,C. 横向扩展（Phase A–D）,皇极经世 / 太乙神数 / 黄历择日 结果页底部操作区重设计,P3,待验收,REQ-121 REQ-133
REQ-135,C. 横向扩展（Phase A–D）,断卦 prompt 按功能拆分（后台 prompt 管理 REQ-048）,P2,待验收,REQ-048
REQ-136,C. 横向扩展（Phase A–D）,运维后台英文标识中文化,P2,待验收,REQ-048
REQ-037,E. 体验与交互优化（2026-09-07 用户走查批次）,全站 UI 文案体系优化美化,P2,待验收,
REQ-038,E. 体验与交互优化（2026-09-07 用户走查批次）,国学预测与西式占卜两个 Hub,P2,已验收,REQ-020
REQ-039,E. 体验与交互优化（2026-09-07 用户走查批次）,档案绑定与展示统一,P1,已验收,BUG-006 REQ-025
REQ-040,E. 体验与交互优化（2026-09-07 用户走查批次）,档案详情页改版,P2,已验收,REQ-027
REQ-041,E. 体验与交互优化（2026-09-07 用户走查批次）,生肖流年模块图标重新设计（统一整体产品风格）,P3,已验收,REQ-021
REQ-042,E. 体验与交互优化（2026-09-07 用户走查批次）,塔罗模块交互改版 v2（2026-09-07 用户修订）,P1,已验收,REQ-023 REQ-043 REQ-129
REQ-043,E. 体验与交互优化（2026-09-07 用户走查批次）,雷诺曼模块改版（对齐塔罗 v2,P2,已验收,REQ-024 REQ-129 REQ-130
REQ-044,E. 体验与交互优化（2026-09-07 用户走查批次）,临时起卦交互改版 v2（2026-09-07 用户修订）,P1,待验收,BUG-004 REQ-022 REQ-055 REQ-079 REQ-104 REQ-105
REQ-045,E. 体验与交互优化（2026-09-07 用户走查批次）,星座页新增「太阳/月亮/上升」三格与布局调整,P1,已验收,REQ-025 REQ-115
REQ-046,E. 体验与交互优化（2026-09-07 用户走查批次）,星座/MBTI「新建档案」入口与建档按钮路径区分,P1,已验收,REQ-026 REQ-065 REQ-067
REQ-047,E. 体验与交互优化（2026-09-07 用户走查批次）,MBTI 结果分享,P2,已验收,BUG-009 REQ-026 REQ-056
REQ-052,E. 体验与交互优化（2026-09-07 用户走查批次）,生肖流年改为档案驱动,P2,已验收,REQ-021
REQ-053,E. 体验与交互优化（2026-09-07 用户走查批次）,档案详情字段展示改版,P1,已验收,REQ-039
REQ-054,E. 体验与交互优化（2026-09-07 用户走查批次）,档案内历史记录逐条删除,P2,已验收,REQ-047 REQ-054 REQ-112
REQ-055,E. 体验与交互优化（2026-09-07 用户走查批次）,起卦结果页重构 + 免费静态解读（六爻/梅花易数/小六壬）,P1,已验收,BUG-004 REQ-044 REQ-107
REQ-056,E. 体验与交互优化（2026-09-07 用户走查批次）,MBTI 人格测试入口与结果页交互定稿 v2,P1,已验收,BUG-009 REQ-026 REQ-039 REQ-046 REQ-047
REQ-057,E. 体验与交互优化（2026-09-07 用户走查批次）,星座模块新增「恋爱关系」板块,P2,待验收,REQ-025 REQ-030 REQ-045
REQ-058,E. 体验与交互优化（2026-09-07 用户走查批次）,国学「九法合一」排盘等待页增强,P2,待验收,
REQ-060,E. 体验与交互优化（2026-09-07 用户走查批次）,全局页脚贴底（Sticky Footer）,P2,待验收,
REQ-061,E. 体验与交互优化（2026-09-07 用户走查批次）,占卜动效与翻牌交互,P2,待验收,REQ-022 REQ-042 REQ-044 REQ-059 REQ-129
REQ-062,E. 体验与交互优化（2026-09-07 用户走查批次）,落地页宣传大色块透明度,P2,待验收,REQ-027
REQ-064,E. 体验与交互优化（2026-09-07 用户走查批次）,首页按键调整与「档案管理」入口迁移（2026-09-07 v2 修订,P2,待验收,REQ-027
REQ-065,E. 体验与交互优化（2026-09-07 用户走查批次）,档案管理列表 CRM 化,P1,待验收,REQ-046
REQ-066,E. 体验与交互优化（2026-09-07 用户走查批次）,「功能设置」页（右上角菜单入口,P2,待验收,REQ-001 REQ-027 REQ-061
REQ-067,E. 体验与交互优化（2026-09-07 用户走查批次）,档案与「九法合一」解耦 + 建档页按钮重设,P1,待验收,REQ-046
REQ-068,E. 体验与交互优化（2026-09-07 用户走查批次）,「九法合一」模块入口改「选择档案」UI（对齐星座/MBTI 模式,P1,待验收,REQ-005 REQ-056 REQ-067
REQ-069,E. 体验与交互优化（2026-09-07 用户走查批次）,各占卜模块新增「快速手动输入实际结果」模式（场景,P1,待验收,REQ-022
REQ-070,E. 体验与交互优化（2026-09-07 用户走查批次）,「分享帮填」按钮,P2,待验收,BUG-012 REQ-067
REQ-071,E. 体验与交互优化（2026-09-07 用户走查批次）,Banner 正中「模块下拉导航」,P2,待验收,REQ-027
REQ-072,E. 体验与交互优化（2026-09-07 用户走查批次）,三大模块 LLM「配对解析」,P1,待验收,REQ-030 REQ-048
REQ-073,E. 体验与交互优化（2026-09-07 用户走查批次）,六爻静态文案补齐（成稿见 `docs/六爻文案补齐与skill素材对照.md`）,P2,待验收,REQ-055 REQ-107
REQ-074,E. 体验与交互优化（2026-09-07 用户走查批次）,深度断卦 prompt 增强（引入 **skills/liuyao 分层断卦体…,P1,待验收,REQ-048
REQ-075,E. 体验与交互优化（2026-09-07 用户走查批次）,六爻结果「焦点详解」动态 LLM（新按钮/需求点）,P2,待验收,REQ-073
REQ-076,E. 体验与交互优化（2026-09-07 用户走查批次）,「太初先生」Agent 会话（banner「余额」与右上角菜单之间的图标按钮）,P2,待验收,BUG-014 REQ-048 REQ-050 REQ-066 REQ-077 REQ-111 REQ-113
REQ-077,E. 体验与交互优化（2026-09-07 用户走查批次）,AI 伙伴长期记忆模块（服务「太初先生」跨会话记忆,P1,待验收,REQ-066 REQ-076
REQ-080,E. 体验与交互优化（2026-09-07 用户走查批次）,「单页 + 真实子路径」路由落地（全站 URL 映射上生产）,P1,待验收,BUG-009 REQ-047 REQ-071
REQ-078,E. 体验与交互优化（2026-09-07 用户走查批次）,数据层与埋点扩充（2026-09-07 审查结论,P1,待验收,REQ-059
REQ-079,E. 体验与交互优化（2026-09-07 用户走查批次）,塔罗 / 雷诺曼「占问问题」由必填改为可选,P2,待验收,REQ-042
REQ-081,E. 体验与交互优化（2026-09-07 用户走查批次）,观音灵签交互与结果界面修正（2026-09-07 用户反馈）,P2,待验收,REQ-022 REQ-044 REQ-061 REQ-104 REQ-105
REQ-082,E. 体验与交互优化（2026-09-07 用户走查批次）,各模块「配对解析」与关系入口布局/样式调整（2026-09-07 用户反馈）,P2,待验收,REQ-072 REQ-083 REQ-108 REQ-109 REQ-110
REQ-083,E. 体验与交互优化（2026-09-07 用户走查批次）,星座「恋爱关系」扩展为同排三关系（位置与显示规则同 REQ-082③）,P2,待验收,REQ-057 REQ-102
REQ-084,E. 体验与交互优化（2026-09-07 用户走查批次）,三大模块主页 Q 版循环小动画（「Flash」仅为代称,P2,待验收,REQ-061 REQ-066 REQ-076 REQ-116
REQ-087,E. 体验与交互优化（2026-09-07 用户走查批次）,余额展示迁入右上角菜单（2026-09-07）,P2,待验收,REQ-085
REQ-088,E. 体验与交互优化（2026-09-07 用户走查批次）,「九法合一」下方操作说明调整（2026-09-07）,P3,待验收,REQ-068 REQ-085 REQ-086
REQ-089,E. 体验与交互优化（2026-09-07 用户走查批次）,档案详情展示与「修改信息」v2（2026-09-07）,P2,待验收,REQ-039 REQ-065 REQ-112 REQ-114
REQ-090,E. 体验与交互优化（2026-09-07 用户走查批次）,档案管理（详情）页底部按钮排布 v2（2026-09-07）,P2,待验收,REQ-040
REQ-091,E. 体验与交互优化（2026-09-07 用户走查批次）,建档表单下拉「点击即填入」（2026-09-07）,P3,待验收,REQ-053 REQ-067
REQ-092,E. 体验与交互优化（2026-09-07 用户走查批次）,新用户建档强制门（2026-09-07）,P1,待验收,REQ-067
REQ-093,E. 体验与交互优化（2026-09-07 用户走查批次）,国学「九法合一选档案页」配对/八字配对改版（2026-09-07,P1,待验收,REQ-068 REQ-100
REQ-094,E. 体验与交互优化（2026-09-07 用户走查批次）,国学「八字/九法起名」功能（2026-09-07）,P2,待验收,REQ-093 REQ-100 REQ-126
REQ-095,E. 体验与交互优化（2026-09-07 用户走查批次）,生肖流年「恋爱 / 朋友 / 上下级」三关系按键（2026-09-07）,P2,待验收,REQ-021 REQ-102
REQ-097,E. 体验与交互优化（2026-09-07 用户走查批次）,banner「太初先生」入口图标改文字（2026-09-07 登记,P2,待验收,REQ-076 REQ-111
REQ-098,E. 体验与交互优化（2026-09-07 用户走查批次）,PWA「添加到主屏幕 / 桌面应用化」（2026-09-07）,P2,待验收,REQ-078
REQ-086,E. 体验与交互优化（2026-09-07 用户走查批次）,全站「消耗余额」角标（2026-09-07）,P2,待验收,REQ-037 REQ-085
REQ-099,E. 体验与交互优化（2026-09-07 用户走查批次）,进入建档页的滚动落点修正（2026-09-08 用户反馈,P2,待验收,BUG-015 REQ-092
REQ-100,E. 体验与交互优化（2026-09-07 用户走查批次）,九法合一入口功能层级与命名调整（2026-09-08 用户反馈）,P1,待验收,REQ-068 REQ-093 REQ-094 REQ-126
REQ-101,E. 体验与交互优化（2026-09-07 用户走查批次）,九法合一文案重写（2026-09-08 用户反馈）,P2,待验收,REQ-006 REQ-068 REQ-088
REQ-102,E. 体验与交互优化（2026-09-07 用户走查批次）,生肖流年/星座「三关系」按键 UI 统一改版（2026-09-08 用户反馈）,P2,待验收,REQ-057 REQ-083 REQ-095 REQ-117
REQ-103,E. 体验与交互优化（2026-09-07 用户走查批次）,生肖流年「风险关系/五行关系」名词解释弹窗化（2026-09-08 用户反馈）,P3,待验收,REQ-021
REQ-104,E. 体验与交互优化（2026-09-07 用户走查批次）,临时起卦各法独立结果页（2026-09-08 用户反馈）,P1,待验收,BUG-016 REQ-022 REQ-044 REQ-081
REQ-105,E. 体验与交互优化（2026-09-07 用户走查批次）,起卦进入默认不弹输入法/问题框（2026-09-08 用户反馈）,P2,待验收,REQ-044 REQ-079
REQ-106,E. 体验与交互优化（2026-09-07 用户走查批次）,小六壬卦象结果图像 UI 美术重做（2026-09-08 用户反馈）,P3,待验收,REQ-022
REQ-107,E. 体验与交互优化（2026-09-07 用户走查批次）,六爻免费解读区折叠菜单化（2026-09-08 用户反馈,P2,待验收,REQ-055 REQ-073
REQ-108,E. 体验与交互优化（2026-09-07 用户走查批次）,星座配对解析 UI 改版（2026-09-08 用户反馈）,P2,待验收,REQ-072 REQ-082
REQ-109,E. 体验与交互优化（2026-09-07 用户走查批次）,MBTI 配对解析 UI 对齐星座 + 按键位置调整（2026-09-08 用…,P2,待验收,REQ-072 REQ-082
REQ-110,E. 体验与交互优化（2026-09-07 用户走查批次）,配对解析弹窗关系类型按钮图标化 + 221 排布（2026-09-08 用户反…,P2,待验收,BUG-023 REQ-072
REQ-111,E. 体验与交互优化（2026-09-07 用户走查批次）,banner「太初先生」入口改文字按钮「问先生」（2026-09-08 用户反…,P2,归档,REQ-097
REQ-112,E. 体验与交互优化（2026-09-07 用户走查批次）,MBTI 更名为「心理测试」全站（2026-09-08 用户反馈,P1,待验收,REQ-026 REQ-054 REQ-089 REQ-109
REQ-113,E. 体验与交互优化（2026-09-07 用户走查批次）,默认档案体系（2026-09-08 用户反馈）,P1,待验收,REQ-076
REQ-114,E. 体验与交互优化（2026-09-07 用户走查批次）,档案「修改信息」改内联编辑（2026-09-08 用户反馈,P2,待验收,BUG-022 REQ-089
REQ-115,E. 体验与交互优化（2026-09-07 用户走查批次）,星座「太阳/月亮/上升」三卡片改横向堆叠样式（2026-09-08 用户反馈）,P2,待验收,REQ-045 REQ-132
REQ-116,E. 体验与交互优化（2026-09-07 用户走查批次）,首页 Q 版动画跟随「太初先生」开关（2026-09-08 用户反馈逻辑确认）,P3,待验收,REQ-066 REQ-084
REQ-117,E. 体验与交互优化（2026-09-07 用户走查批次）,星座页底部操作按钮均匀分布（2026-09-08 用户反馈,P3,待验收,REQ-025 REQ-102
REQ-132,E. 体验与交互优化（2026-09-07 用户走查批次）,星座页「太阳/月亮/上升」三卡轮播改版（REQ-115 呈现口径修订）,P2,待验收,REQ-115
REQ-048,F. 后台与运维,后台 Prompt 统一管理台（生产热修改）,P1,已验收,
REQ-049,F. 后台与运维,登录/注册错误提示细化,P1,已验收,REQ-001
REQ-050,F. 后台与运维,后台运维接入 OpenClaw Agent（远程 Agent 管理运维后台）,P1,已验收,REQ-048
REQ-059,F. 后台与运维,前台素材热更（后台运维板块,P2,待验收,BUG-018 REQ-048 REQ-078
REQ-030,D. 待办 / 未来（Phase 2 后，明确不做或缓做）,合婚 / 合盘,P3,归档,
REQ-031,D. 待办 / 未来（Phase 2 后，明确不做或缓做）,星座三限/月返/日互,P3,归档,
REQ-032,D. 待办 / 未来（Phase 2 后，明确不做或缓做）,MBTI × 命盘跨读 LLM,P3,归档,
REQ-033,D. 待办 / 未来（Phase 2 后，明确不做或缓做）,SQLite → PostgreSQL 切换,P3,待办,
REQ-034,D. 待办 / 未来（Phase 2 后，明确不做或缓做）,金数据商户认证 + 支付全链路验证,P1,待办,
REQ-035,D. 待办 / 未来（Phase 2 后，明确不做或缓做）,购买积分与充值流程,P2,待办,
REQ-036,D. 待办 / 未来（Phase 2 后，明确不做或缓做）,后台 Phase2 专用端点（各模块 readings 查看）,P3,待办,
REQ-128,D. 待办 / 未来（Phase 2 后，明确不做或缓做）,文案统一管理专项（含存量搬家分阶段；后置,P3,开发中,REQ-037 REQ-048 REQ-127
